#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Pseudomonas protegens","FDAARGOS_307",19545,SAMN06173320 ,PRJNA231221,"Proteobacteria","Gammaproteobacteria",GCA_002208745.1 ,7.07553,63.3,chromosome:NZ_CP022097.1/CP022097.1,-,1,6417,6088,2017/06/27,2017/06/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/745/GCF_002208745.1_ASM220874v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/745/GCA_002208745.1_ASM220874v1
"Vibrio natriegens","CCUG 16373",50812,SAMN05302750 ,PRJNA327130,"Proteobacteria","Gammaproteobacteria",GCA_001680065.1 ,5.54922,44.9152,chromosome 1:NZ_CP016349.1/CP016349.1; chromosome 2:NZ_CP016350.1/CP016350.1,-,2,5099,4814,2016/07/06,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/680/065/GCF_001680065.1_ASM168006v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/065/GCA_001680065.1_ASM168006v1
"Cedecea neteri","FDAARGOS_392",21236,SAMN07312436 ,PRJNA231221,"Proteobacteria","Gammaproteobacteria",GCA_002393445.1 ,5.4693,54.2162,chromosome:NZ_CP023525.1/CP023525.1; plasmid unnamed:NZ_CP023526.1/CP023526.1,-,2,5208,4970,2017/09/28,2017/10/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/445/GCF_002393445.1_ASM239344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/445/GCA_002393445.1_ASM239344v1
"Cupriavidus sp. NH9","NH9",19476,SAMN05862088 ,PRJNA345268,"Proteobacteria","Betaproteobacteria",GCA_002011925.1 ,8.24694,65.4546,chromosome 1:NZ_CP017757.1/CP017757.1; chromosome 2:NZ_CP017758.1/CP017758.1; plasmid pENH91:NZ_CP017760.1/CP017760.1; plasmid pENH92:NZ_CP017759.1/CP017759.1,-,4,7525,7231,2017/03/03,2017/09/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/011/925/GCF_002011925.1_ASM201192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/925/GCA_002011925.1_ASM201192v1
"Rhodovulum sulfidophilum","SNK001",25087,SAMN04903812 ,PRJNA319729,"Proteobacteria","Alphaproteobacteria",GCA_001633145.1 ,4.19649,66.8568,chromosome:NZ_CP015421.1/CP015421.1; plasmid unnamed:NZ_CP015422.1/CP015422.1,-,2,3933,3767,2016/04/28,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/145/GCF_001633145.1_ASM163314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/145/GCA_001633145.1_ASM163314v1
"Rhizobium sp. IE4771","IE4771",19912,SAMN02423216 ,PRJNA230502,"Proteobacteria","Alphaproteobacteria",GCA_000698845.1 ,7.05741,61.0944,chromosome:NZ_CP006986.1/CP006986.1; plasmid pRetIE4771a:NZ_CP006987.1/CP006987.1; plasmid pRetIE4771b:NZ_CP006988.1/CP006988.1; plasmid pRetIE4771c:NZ_CP006989.1/CP006989.1; plasmid pRetIE4771d:NZ_CP006990.1/CP006990.1; plasmid pRetIE4771e:NZ_CP006991.1/CP006991.1,-,6,6780,6461,2014/06/06,2017/07/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/845/GCF_000698845.1_ASM69884v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/845/GCA_000698845.1_ASM69884v1
"Halomonas sp. GT","GT",22649,SAMN06626686 ,PRJNA380028,"Proteobacteria","Gammaproteobacteria",GCA_002082565.1 ,4.15846,52.1,chromosome:NZ_CP020562.1/CP020562.1,-,1,3770,3643,2017/04/10,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/565/GCF_002082565.1_ASM208256v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/565/GCA_002082565.1_ASM208256v1
"Francisella sp. CA97-1460","CA97-1460",53035,SAMN03107515 ,PRJNA260085,"Proteobacteria","Gammaproteobacteria",GCA_001880225.1 ,1.86161,31.2017,chromosome:NZ_CP009654.1/CP009654.1; plasmid pFCD_1:NZ_CP009655.1/CP009655.1,-,2,1846,1773,2016/11/17,2017/04/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/880/225/GCF_001880225.1_ASM188022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/880/225/GCA_001880225.1_ASM188022v1
"Sphingobium sp. MI1205","MI1205",21769,SAMN04497574 ,PRJNA196450,"Proteobacteria","Alphaproteobacteria",GCA_001563285.1 ,4.61937,62.3365,chromosome 1:NZ_CP005188.1/CP005188.1; chromosome 2:NZ_CP005189.1/CP005189.1; plasmid pMI1:NZ_CP005190.1/CP005190.1; plasmid pMI2:NZ_CP005191.1/CP005191.1; plasmid pMI3:NZ_CP005192.1/CP005192.1; plasmid pMI4:NZ_CP005193.1/CP005193.1,-,6,4638,4425,2016/02/18,2017/04/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/285/GCF_001563285.1_ASM156328v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/285/GCA_001563285.1_ASM156328v1
"Bartonella sp. JB15","JB15",52337,SAMN06213868 ,PRJNA360985,"Proteobacteria","Alphaproteobacteria",GCA_002022605.1 ,1.49402,35.3,chromosome:NZ_CP019787.1/CP019787.1,-,1,1294,1143,2017/03/07,2017/03/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/605/GCF_002022605.1_ASM202260v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/605/GCA_002022605.1_ASM202260v1
"Campylobacter sp. RM8964","RM8964",53392,SAMN03737996 ,PRJNA284991,"Proteobacteria","delta/epsilon subdivisions",GCA_002139895.1 ,1.75429,32.0516,chromosome:NZ_CP018791.1/CP018791.1; plasmid pVIC8964:NZ_CP018792.1/CP018792.1,-,2,1808,1737,2017/05/15,2017/05/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/139/895/GCF_002139895.1_ASM213989v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/139/895/GCA_002139895.1_ASM213989v1
"Janthinobacterium sp. LM6","LM6",19448,SAMN06261476 ,PRJNA363094,"Proteobacteria","Betaproteobacteria",GCA_002002885.1 ,6.28846,63,chromosome:NZ_CP019510.1/CP019510.1,-,1,5523,5350,2017/02/17,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/002/885/GCF_002002885.1_ASM200288v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/002/885/GCA_002002885.1_ASM200288v1
"Psychrobacter sp. P11G5","P11G5",19517,SAMN03975702 ,PRJNA292376,"Proteobacteria","Gammaproteobacteria",GCA_001593305.1 ,3.51914,41.8214,chromosome:NZ_CP012533.1/CP012533.1; plasmid pPspP11G5a:NZ_CP012534.1/CP012534.1; plasmid pPspP11G5b:NZ_CP012535.1/CP012535.1; plasmid pPspP11G5c:NZ_CP012536.1/CP012536.1; plasmid pPspP11G5d:NZ_CP012537.1/CP012537.1; plasmid pPspP11G5e:NZ_CP012538.1/CP012538.1; plasmid pPspP11G5f:NZ_CP012539.1/CP012539.1; plasmid pPspP11G5g:NZ_CP012540.1/CP012540.1,-,8,2900,2781,2016/03/03,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/305/GCF_001593305.1_ASM159330v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/305/GCA_001593305.1_ASM159330v1
"Acidovorax sp. P4","P4",53402,SAMN03755634 ,PRJNA285679,"Proteobacteria","Betaproteobacteria",GCA_002157125.1 ,4.70474,63.5773,chromosome:NZ_CP021366.1/CP021366.1; plasmid pACP4.1:NZ_CP021367.1/CP021367.1; plasmid pACP4.2:NZ_CP021368.1/CP021368.1; plasmid pACP4.3:NZ_CP021369.1/CP021369.1; plasmid pACP4.4:NZ_CP021370.1/CP021370.1,-,5,4400,4176,2017/05/24,2017/05/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/125/GCF_002157125.1_ASM215712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/125/GCA_002157125.1_ASM215712v1
"Methylobacterium sp. PR1016A","PR1016A",-,SAMN07832813 ,PRJNA415693,"Proteobacteria","Alphaproteobacteria",GCA_002761855.1 ,7.74463,70.1906,chromosome:CP024603.1; plasmid p1_MP1016A:CP024604.1; plasmid p2_MP1016A:CP024605.1; plasmid p3_MP1016A:CP024606.1; plasmid p4_MP1016A:CP024607.1,-,5,7109,6671,2017/11/08,2017/11/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/855/GCF_002761855.1_ASM276185v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/855/GCA_002761855.1_ASM276185v1
"Serratia sp. SCBI","SCBI",21231,SAMN02990345 ,PRJNA91109,"Proteobacteria","Gammaproteobacteria",GCA_000747565.1 ,5.1019,59.6381,chromosome:NZ_CP003424.1/CP003424.1; plasmid SCBI_Pl:NZ_CP003425.1/CP003425.1,-,2,4842,4528,2014/09/04,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/565/GCF_000747565.1_ASM74756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/565/GCA_000747565.1_ASM74756v1
"Bradyrhizobium sp. CCGE-LA001","CCGE-LA001",21119,SAMN02469422 ,PRJNA172908,"Proteobacteria","Alphaproteobacteria",GCA_000296215.2 ,7.8335,63.6,chromosome:NZ_CP013949.1/CP013949.1,-,1,7234,6988,2016/01/25,2017/04/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/215/GCF_000296215.2_ASM29621v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/215/GCA_000296215.2_ASM29621v2
"Shewanella sp. ANA-3","ANA-3",19611,SAMN02598318 ,PRJNA13905,"Proteobacteria","Gammaproteobacteria",GCA_000203935.1 ,5.25115,47.9725,chromosome 1:NC_008577.1/CP000469.1; plasmid Plasmid1:NC_008573.1/CP000470.1,-,2,4630,4421,2006/11/08,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/935/GCF_000203935.1_ASM20393v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/935/GCA_000203935.1_ASM20393v1
"Enterobacter cloacae complex sp. 35734","35734",19671,SAMN03067419 ,PRJNA259658,"Proteobacteria","Gammaproteobacteria",GCA_000807415.4 ,5.2769,55.6738,chromosome 1:NZ_CP012162.1/CP012162.1; plasmid p35734-109.753kb:NZ_CP012163.1/CP012163.1; plasmid p35734-141.404kb:NZ_CP010360.2/CP010360.2; plasmid p35734-8.452kb:NZ_CP012164.1/CP012164.1,-,4,5156,4815,2015/08/04,2017/04/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/415/GCF_000807415.2_ASM80741v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/415/GCA_000807415.4_ASM80741v4
"Sphingomonas sp. JJ-A5","JJ-A5",53243,SAMN06050156 ,PRJNA354679,"Proteobacteria","Alphaproteobacteria",GCA_001890385.1 ,3.78798,63.2322,chromosome:NZ_CP018221.1/CP018221.1; plasmid pHSL1:NZ_CP018222.1/CP018222.1; plasmid pHSL2:NZ_CP018223.1/CP018223.1; plasmid pHSL3:NZ_CP018224.1/CP018224.1; plasmid pHSL4:NZ_CP018225.1/CP018225.1,-,5,3926,3764,2016/12/07,2017/04/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/385/GCF_001890385.1_ASM189038v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/385/GCA_001890385.1_ASM189038v1
"Acinetobacter sp. NCu2D-2","NCu2D-2",21199,SAMN04572529 ,PRJNA315981,"Proteobacteria","Gammaproteobacteria",GCA_001647675.1 ,3.04828,40.0475,chromosome:NZ_CP015594.1/CP015594.1; plasmid unnamed:NZ_CP015595.1/CP015595.1,-,2,2912,2705,2016/05/19,2017/04/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/675/GCF_001647675.1_ASM164767v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/675/GCA_001647675.1_ASM164767v1
"Pseudomonas sp. TKP","TKP",19546,SAMN02389528 ,PRJNA225946,"Proteobacteria","Gammaproteobacteria",GCA_000508205.1 ,7.01267,60.5,chromosome:NC_023064.1/CP006852.1,-,1,6407,6186,2013/12/16,2017/04/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/205/GCF_000508205.1_ASM50820v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/205/GCA_000508205.1_ASM50820v1
"Bordetella holmesii 44057","44057",21711,SAMN02190089 ,PRJNA178408,"Proteobacteria","Betaproteobacteria",GCA_000765395.1 ,3.69714,62.7,chromosome:NZ_CP007495.1/CP007495.1,-,1,3638,3044,2014/10/10,2017/04/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/765/395/GCF_000765395.1_ASM76539v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/395/GCA_000765395.1_ASM76539v1
"Candidatus Portiera aleyrodidarum BT-B-HRs","BT-B",21166,SAMN02603335 ,PRJNA175094,"Proteobacteria","Gammaproteobacteria",GCA_000300075.1 ,0.351658,26.2,chromosome:NC_018677.1/CP003868.1,-,1,303,261,2012/09/28,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/075/GCF_000300075.1_ASM30007v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/075/GCA_000300075.1_ASM30007v1
"Alteromonas stellipolaris","PQQ-44",19588,SAMN04874701 ,PRJNA319007,"Proteobacteria","Gammaproteobacteria",GCA_001632825.1 ,4.72186,43.6,chromosome:NZ_CP015346.1/CP015346.1,-,1,4074,3928,2016/04/27,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/825/GCF_001632825.1_ASM163282v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/825/GCA_001632825.1_ASM163282v1
"Serratia plymuthica S13","",23549,SAMN02603297 ,PRJNA209109,"Proteobacteria","Gammaproteobacteria",GCA_000438825.1 ,5.46731,56.2,chromosome:NC_021659.1/CP006566.1,-,1,5144,4936,2013/07/05,2017/04/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/825/GCF_000438825.1_ASM43882v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/825/GCA_000438825.1_ASM43882v1
"Alcaligenes faecalis","DSM 30030",21179,SAMN07701806 ,PRJNA412153,"Proteobacteria","Betaproteobacteria",GCA_002443155.1 ,4.07526,56.6,chromosome:NZ_CP023667.1/CP023667.1,-,1,3782,3678,2017/10/04,2017/10/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/443/155/GCF_002443155.1_ASM244315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/155/GCA_002443155.1_ASM244315v1
"Pseudomonas chlororaphis","UFB2",19546,SAMN03395035 ,PRJNA277727,"Proteobacteria","Gammaproteobacteria",GCA_001023535.1 ,6.36026,62,chromosome:NZ_CP011020.1/CP011020.1,-,1,5651,5471,2015/06/09,2017/04/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/023/535/GCF_001023535.1_ASM102353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/023/535/GCA_001023535.1_ASM102353v1
"Moraxella osloensis","KSH",19513,SAMN07501684 ,PRJNA398108,"Proteobacteria","Gammaproteobacteria",GCA_002752795.1 ,2.31832,43.4251,chromosome:CP024180.1; plasmid p1:CP024181.1; plasmid p2:CP024182.1; plasmid p3:CP024183.1; plasmid p4:CP024184.1,-,5,2088,1990,2017/11/06,2017/11/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/795/GCF_002752795.1_ASM275279v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/795/GCA_002752795.1_ASM275279v1
"Xanthomonas fragariae","NBC2815",21683,SAMEA104068690 ,PRJEB20807,"Proteobacteria","Gammaproteobacteria",GCA_900183985.1 ,4.26816,62.3035,chromosome 1:NZ_LT853880.1/LT853880.1; plasmid pNBC2815-21:NZ_LT853881.1/LT853881.1,-,2,3974,3238,2017/05/24,2017/07/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/183/985/GCF_900183985.1_NBC2815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/183/985/GCA_900183985.1_NBC2815.1
"Rhizobium phaseoli","N161",19912,SAMN03998624 ,PRJNA293118,"Proteobacteria","Alphaproteobacteria",GCA_001664165.1 ,6.72033,61.3846,chromosome:NZ_CP013585.1/CP013585.1; plasmid pRphaN161a:NZ_CP013586.1/CP013586.1; plasmid pRphaN161b:NZ_CP013587.1/CP013587.1; plasmid pRphaN161c:NZ_CP013588.1/CP013588.1; plasmid pRphaN161d:NZ_CP013589.1/CP013589.1,-,5,6554,6224,2016/06/17,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/165/GCF_001664165.1_ASM166416v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/165/GCA_001664165.1_ASM166416v1
"Piscirickettsia salmonis","PSCGR01",21216,SAMN04309069 ,PRJNA304760,"Proteobacteria","Gammaproteobacteria",GCA_001514395.1 ,3.48974,39.6191,chromosome:NZ_CP013944.1/CP013944.1; plasmid pPSCRG01-4:NZ_CP013945.1/CP013945.1; plasmid pPsCRG01-1:NZ_CP013946.1/CP013946.1; plasmid pPsCRG01-2:NZ_CP013947.1/CP013947.1; plasmid pPsCRG01-3:NZ_CP013948.1/CP013948.1,-,5,3590,3166,2016/01/14,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/395/GCF_001514395.1_ASM151439v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/395/GCA_001514395.1_ASM151439v1
"Francisella noatunensis subsp. orientalis FNO24","FNO24",19496,SAMN02584017 ,PRJNA234502,"Proteobacteria","Gammaproteobacteria",GCA_001042545.2 ,1.86232,32.3,chromosome:NZ_CP011922.2/CP011922.2,-,1,1899,1446,2015/06/29,2017/10/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/545/GCF_001042545.2_ASM104254v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/545/GCA_001042545.2_ASM104254v2
"Campylobacter sputorum bv. sputorum RM3237","RM3237",35289,SAMN03737991 ,PRJNA66801,"Proteobacteria","delta/epsilon subdivisions",GCA_002220795.1 ,1.75226,29.7,chromosome:NZ_CP019682.1/CP019682.1,-,1,1795,1706,2017/07/18,2017/07/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/795/GCF_002220795.1_ASM222079v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/795/GCA_002220795.1_ASM222079v1
"Moraxella bovoculi","28389",32029,SAMN03577767 ,PRJNA282717,"Proteobacteria","Gammaproteobacteria",GCA_000988685.1 ,2.40095,45.2,chromosome:NZ_CP011378.1/CP011378.1,-,1,2371,2188,2015/05/06,2017/04/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/685/GCF_000988685.1_ASM98868v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/685/GCA_000988685.1_ASM98868v1
"Rickettsia japonica","PO-1",22206,SAMD00053847 ,PRJDB4932,"Proteobacteria","Alphaproteobacteria",GCA_002357135.1 ,1.28394,32.4,chromosome:NZ_AP017580.1/AP017580.1,-,1,1523,1203,2017/01/24,2017/09/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/135/GCF_002357135.1_ASM235713v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/135/GCA_002357135.1_ASM235713v1
"Vibrio campbellii","20130629003S01",19631,SAMN06310879 ,PRJNA371682,"Proteobacteria","Gammaproteobacteria",GCA_002140055.1 ,6.37132,45.2075,chromosome I:NZ_CP020076.1/CP020076.1; chromosome II:NZ_CP020077.1/CP020077.1; plasmid pVCGX1:NZ_CP020078.1/CP020078.1; plasmid pVCGX2:NZ_CP020079.1/CP020079.1; plasmid pVCGX3:NZ_CP020080.1/CP020080.1; plasmid pVCGX4:NZ_CP020081.1/CP020081.1,-,6,6073,5741,2017/05/15,2017/05/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/140/055/GCF_002140055.1_ASM214005v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/140/055/GCA_002140055.1_ASM214005v1
"Burkholderia cepacia","DDS 7H-2",19463,SAMN02797514 ,PRJNA244017,"Proteobacteria","Betaproteobacteria",GCA_000755805.1 ,8.14711,67.0601,chromosome 1:NZ_CP007787.1/CP007787.1; chromosome 2:NZ_CP007786.1/CP007786.1; chromosome 3:NZ_CP007785.1/CP007785.1,-,3,7688,7405,2014/09/18,2017/04/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/805/GCF_000755805.1_ASM75580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/805/GCA_000755805.1_ASM75580v1
"Pseudomonas brassicacearum","L13-6-12",19546,SAMN04486788 ,PRJNA311625,"Proteobacteria","Gammaproteobacteria",GCA_001746815.1 ,6.71591,60.9,chromosome:NZ_CP014693.1/CP014693.1,-,1,6046,5870,2016/09/26,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/815/GCF_001746815.1_ASM174681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/815/GCA_001746815.1_ASM174681v1
"Burkholderia gladioli pv. gladioli","FDAARGOS_389",19461,SAMN07312433 ,PRJNA231221,"Proteobacteria","Betaproteobacteria",GCA_002393425.1 ,8.28717,67.969,chromosome 1:NZ_CP023522.1/CP023522.1; chromosome 2:NZ_CP023523.1/CP023523.1; plasmid unnamed:NZ_CP023524.1/CP023524.1,-,3,7271,6978,2017/09/28,2017/10/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/425/GCF_002393425.1_ASM239342v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/425/GCA_002393425.1_ASM239342v1
"Klebsiella aerogenes","FDAARGOS_152",19672,SAMN03996296 ,PRJNA231221,"Proteobacteria","Gammaproteobacteria",GCA_001559215.1 ,5.31705,55,chromosome:NZ_CP014029.1/CP014029.1,-,1,5260,4919,2016/02/11,2017/10/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.1_ASM155921v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/215/GCA_001559215.1_ASM155921v1
"Candidatus Tremblaya princeps","",-,SAMEA3723484 ,PRJEB12068,"Proteobacteria","Betaproteobacteria",GCA_900010175.1 ,0.144042,58.9,chromosome I:LN998830.1,-,1,179,134,2016/03/26,2016/03/26,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/010/175/GCA_900010175.1_TPPLON
"Enterobacter hormaechei subsp. steigerwaltii","34977",19671,SAMN03067414 ,PRJNA259658,"Proteobacteria","Gammaproteobacteria",GCA_000814125.3 ,5.20925,54.914,chromosome:NZ_CP010376.2/CP010376.2; plasmid p34977-263.138kb:NZ_CP012170.1/CP012170.1; plasmid p34977-43.621kb:NZ_CP010374.1/CP010374.1; plasmid p34977-5.006kb:NZ_CP010375.2/CP010375.2,-,4,5094,4857,2015/01/05,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/125/GCF_000814125.3_ASM81412v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/125/GCA_000814125.3_ASM81412v3
"Vibrio anguillarum","90-11-286",19641,SAMN03175439 ,PRJNA266919,"Proteobacteria","Gammaproteobacteria",GCA_001660505.1 ,4.34222,44.4319,chromosome I:NZ_CP011460.1/CP011460.1; chromosome II:NZ_CP011461.1/CP011461.1,-,2,3991,3741,2016/06/09,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/505/GCF_001660505.1_ASM166050v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/505/GCA_001660505.1_ASM166050v1
"Ketogulonicigenium vulgare","SKV",19825,SAMN05390006 ,PRJNA329028,"Proteobacteria","Alphaproteobacteria",GCA_001693655.1 ,3.03252,61.6647,chromosome:NZ_CP016592.1/CP016592.1; plasmid pKvSKV1:NZ_CP016593.1/CP016593.1,-,2,3067,2851,2016/07/26,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/655/GCF_001693655.1_ASM169365v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/655/GCA_001693655.1_ASM169365v1
"Citrobacter freundii","P10159",21126,SAMN03996567 ,PRJNA293024,"Proteobacteria","Gammaproteobacteria",GCA_001281005.1 ,5.08032,51.7,chromosome:NZ_CP012554.1/CP012554.1,-,1,5065,4664,2015/09/11,2017/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/005/GCF_001281005.1_ASM128100v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/005/GCA_001281005.1_ASM128100v1
"Taylorella equigenitalis","89-0490",19435,SAMN06899385 ,PRJNA385665,"Proteobacteria","Betaproteobacteria",GCA_002288125.1 ,1.64994,37.6,chromosome:NZ_CP021199.1/CP021199.1,-,1,1518,1446,2017/09/08,2017/09/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/125/GCF_002288125.1_ASM228812v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/125/GCA_002288125.1_ASM228812v1
